Наименование,ИНН,Номер лицензии,Дата выдачи лицензии,Регион
ООО СИБИРЬ,4204006745,ОЛ-6486-РПА,11/29/2006,42
ООО СИБИРЯК,4205095723,ОЛ-5330-РПА,3/20/2006,42
ООО СИБМАРТ,4205198310,ОЛ-9735-РПА,8/27/2010,42
ООО СИНЕКУРА,4205098065,ОЛ-6905-РПА,7/6/2007,42
ООО СИТИ,4222010991,ОЛ-6943-РПА,7/19/2007,42
ООО СКАТ,4212014764,ОЛ-5436-РПА,3/31/2006,42
ООО СКИВ,4212031865,ОЛ-10594-РПА,5/25/2011,42
ООО СКОРПИОН,4222009890,ОЛ-6556-РПА,12/22/2006,42
ООО СКФ-Кузбасс,4217033993,ОЛ-6772-РПА,4/5/2007,42
ООО СЛАВЯНКА,4212014193,ОЛ-5705-РПА,6/19/2006,42
ООО СЛАДКИЙ МИР,4223037474,ОЛ-11291-РПА,11/16/2011,42
ООО СЛАНД,4218003695,ОЛ-1207-РПА,12/4/2002,42
ООО СМОВВИ,4220001663,ОЛ-1365-РПА,12/18/2002,42
ООО СОЛНЦЕ,4214025176,ОЛ-5759-РПА,6/26/2006,42
ООО СОЦСНАБ,4222009562,ОЛ-6210-РПА,9/5/2006,42
ООО СОЮЗ,4214025063,ОЛ-5950-РПА,7/13/2006,42
ООО СП Романтика,4205131682,ОЛ-7783-РПА,8/15/2008,42
ООО СПЕКТР,4205199578,ОЛ-9859-РПА,10/29/2010,42
ООО СПОРТ,4220028383,ОЛ-5500-РПА,10/5/2009,42
ООО СПРИНТ,4202020455,ОЛ-4489-РПА,8/21/2006,42
ООО СПУТНИК,4205186459,ОЛ-9061-РПА,11/27/2009,42
ООО СТАРТ,4214018884,ОЛ-5680-РПА,5/4/2010,42
ООО СТАРТ,4205106566,ОЛ-11022-РПА,7/28/2011,42
ООО СТАРТ,4205185649,ОЛ-9352-РПА,3/22/2010,42
ООО СТАТУС,4222010328,ОЛ-6290-РПА,9/15/2006,42
ООО СТАФСЕРВИС,4217079420,ОЛ-8462-РПА,3/6/2009,42
ООО СТИНК,4205099887,ОЛ-5593-РПА,6/7/2006,42
ООО СТРЕЛЕЦ,7017133072,ОЛ-5663-РПА,6/15/2006,70
ООО СУЛТАН,4217098461,ОЛ-7766-РПА,8/13/2008,42
ООО СУПРА,4223712288,ОЛ-9989-РПА,12/6/2010,42
ООО СФЕРА,4239004795,ОЛ-6102-РПА,8/7/2006,42
ООО Садко,4202021794,ОЛ-4774-РПА,10/18/2005,42
ООО Садко-1,4211019022,ОЛ-6048-РПА,3/11/2010,42
ООО Сален,4205013223,ОЛ-4205-РПА,4/25/2005,42
ООО Сален-2000,4205009347,ОЛ-7591-РПА,5/13/2008,42
ООО Самурай,4204008012,ОЛ-9520-РПА,6/8/2010,42
ООО Самурай,4214024052,ОЛ-5446-РПА,4/5/2006,42
ООО Сантал,4246005550,ОЛ-5104-РПА,12/28/2005,42
ООО Саныч,4238017777,ОЛ-5587-РПА,5/26/2006,42
ООО Саныч,4214030151,ОЛ-8283-РПА,12/24/2008,42
ООО Сарк,4202015247,ОЛ-5786-РПА,6/29/2006,42
ООО Сахар,4202040317,ОЛ-10506-РПА,4/28/2011,42
ООО Сашенька,4217097637,ОЛ-7245-РПА,12/21/2007,42
ООО Свежий хлеб,4213005184,ОЛ-6368-РПА,10/13/2006,42
ООО Светлана,4238021572,ОЛ-7383-РПА,2/11/2008,42
ООО Светлана,4214024045,ОЛ-5676-РПА,6/16/2006,42
ООО Светлана,4222010416,ОЛ-5797-РПА,7/6/2006,42
ООО Селена,4202028510,ОЛ-5736-РПА,7/6/2006,42
ООО СельПо,4214028466,ОЛ-8096-РПА,12/3/2008,42
ООО Сельский дом,4230017239,ОЛ-4694-РПА,9/21/2005,42
ООО Сельский магазин,4238017706,ОЛ-5682-РПА,6/19/2006,42
"ООО Сельскохозяйственный производственный комплекс ""Чистогорский""",4238013194,ОЛ-7560-РПА,4/25/2008,42
ООО Семен,4220031001,ОЛ-5805-РПА,6/27/2006,42
ООО Семья Лоншаковых,4214023926,ОЛ-5468-РПА,5/2/2006,42
ООО Семья,4223054744,ОЛ-11221-РПА,10/20/2011,42
ООО Сервер,4212012414,ОЛ-5718-РПА,6/30/2006,42
ООО Сервис,4205197725,ОЛ-9725-РПА,9/1/2010,42
ООО СибАвтоЦентр,4223043703,ОЛ-11277-РПА,11/10/2011,42
ООО СибРесурс,4205068494,ОЛ-3358-РПА,11/26/2004,42
ООО Сибинвест,4202013338,ОЛ-5156-РПА,3/12/2007,42
ООО Сибирская тройка,4211010541,ОЛ-3134-РПА,7/19/2006,42
ООО Сибирский хлеб,4223023383,ОЛ-6315-РПА,9/25/2006,42
ООО Сибирь,4246002044,ОЛ-1577-РПА,9/15/2005,42
ООО Сибирь,4217118245,ОЛ-11537-РПА,12/29/2011,42
ООО Сибирь,4202028550,ОЛ-6559-РПА,12/19/2006,42
ООО Сибпродукт,4212126154,ОЛ-8830-РПА,7/27/2009,42
ООО Сибпродукт,4205100892,ОЛ-5768-РПА,2/26/2010,42
ООО Сибторгобщепит,4205187646,ОЛ-9108-РПА,12/8/2009,42
ООО Сиквест,4205003401,ОЛ-8185-РПА,12/12/2008,42
ООО СилМон,4223027437,ОЛ-0748-РПА,7/11/2002,42
ООО Симона,4217010820,ОЛ-1596-РПА,12/27/2002,42
ООО Сириус,4204006311,ОЛ-5192-РПА,12/30/2005,42
ООО Система Чибис,4205147587,ОЛ-4037-РПА,3/22/2005,42
"ООО Система магазинов ""Радость""",4223046870,ОЛ-7400-РПА,2/22/2008,42
ООО Скай Вэйс,7017246816,ОЛ-9145-РПА,12/18/2009,70
ООО Скайервитта,4252000253,ОЛ-11393-РПА,12/9/2011,42
ООО Скиф,4221017948,ОЛ-4847-РПА,5/15/2006,42
ООО Славутич,4212016610,ОЛ-4281-РПА,5/14/2005,42
ООО Смак,4223039432,ОЛ-8628-РПА,4/15/2009,42
ООО Смена,4201000181,ОЛ-2507-РПА,12/22/2003,42
ООО Снедь,4214024983,ОЛ-5719-РПА,6/21/2006,42
ООО Снежок,4202014652,ОЛ-8473-РПА,3/17/2009,42
ООО Сова,4212013545,ОЛ-2561-РПА,4/20/2005,42
ООО Соверен,4212015775,ОЛ-6220-РПА,8/29/2006,42
ООО Современное питание,4205179042,ОЛ-9737-РПА,8/31/2010,42
ООО Сокол-НК,4238021332,ОЛ-11265-РПА,11/3/2011,42
ООО Сокур,4221018211,ОЛ-5364-РПА,3/15/2006,42
ООО Сорокин,4220029556,ОЛ-5631-РПА,6/7/2006,42
ООО Софья,4205100934,ОЛ-5569-РПА,5/19/2006,42
"ООО Союз ветеранов правоохранительных органов Кузбасса ""Вымпел",4205063947,ОЛ-7052-РПА,10/1/2007,42
ООО Союз,4250003241,ОЛ-5996-РПА,7/18/2006,42
ООО Союз-М,4219006508,ОЛ-0367-РПА,4/1/2002,42
ООО Спарк,4205100910,ОЛ-5585-РПА,5/25/2006,42
ООО Спортотель,4228009199,ОЛ-5474-РПА,4/14/2006,42
ООО Стайер-Алко,4230028978,ОЛ-10708-РПА,6/22/2011,42
ООО Старый Добрый УЮТ,4240008635,ОЛ-6125-РПА,8/7/2006,42
ООО Стелла,4240007381,ОЛ-11509-РПА,12/28/2011,42
ООО Стимул,4202028038,ОЛ-5713-РПА,6/21/2006,42
ООО Стрелец,4202027115,ОЛ-5140-РПА,12/26/2005,42
ООО Стрелец,4214033160,ОЛ-11409-РПА,12/12/2011,42
ООО Стрелец,4220029490,ОЛ-4959-РПА,12/2/2005,42
ООО Строительно-транспортная компания,4238017858,ОЛ-5708-РПА,7/4/2006,42
ООО ТАКОН,4212011925,ОЛ-5546-РПА,5/30/2006,42
ООО ТАЛИСМАН,4223040540,ОЛ-5333-РПА,2/20/2006,42
ООО ТАТЬЯНА,4212024018,ОЛ-6832-РПА,5/17/2007,42
ООО ТВид,4221019783,ОЛ-6279-РПА,9/14/2006,42
"ООО ТД ""Золотой ключ""",4250002223,ОЛ-5659-РПА,6/15/2006,42
"ООО ТД ""СМАК""",4223710509,ОЛ-8836-РПА,7/29/2009,42
ООО ТЕХНО-ХОЛДИНГ,4238017833,ОЛ-5868-РПА,10/22/2007,42
ООО ТИСИО,4202028888,ОЛ-5920-РПА,7/7/2006,42
ООО ТОМЬ+,4214025345,ОЛ-5860-РПА,6/29/2006,42
ООО ТОМЬ,4205203584,ОЛ-9823-РПА,10/12/2010,42
ООО ТОР,4250002262,ОЛ-5530-РПА,5/12/2006,42
"ООО ТОРГОВЫЙ ДОМ ""СИБИРЬ""",4223710918,ОЛ-10587-РПА,5/26/2011,42
ООО ТОРИС,4223001968,ОЛ-6616-РПА,4/13/2009,42
ООО ТРИ СЕСТРЫ,4246006948,ОЛ-5861-РПА,6/30/2006,42
ООО ТРИАЛСИБ,4220029500,ОЛ-5035-РПА,12/13/2005,42
ООО ТРИО,4213006251,ОЛ-5866-РПА,7/4/2006,42
ООО ТРИПЯТЕРКИ,4205137268,ОЛ-10486-РПА,4/22/2011,42
ООО ТРИУМФ,4228011896,ОЛ-8423-РПА,2/11/2011,42
ООО ТРОЙКА,4246006514,ОЛ-5449-РПА,4/7/2006,42
ООО ТРОЯ,4217078063,ОЛ-5117-РПА,12/21/2005,42
ООО Таежный,4217098535,ОЛ-7263-РПА,12/21/2007,42
ООО Тайм,4253003112,ОЛ-11647-РПА,2/9/2012,42
ООО Талисман,4202028969,ОЛ-5924-РПА,7/7/2006,42
ООО Тандем,4238013405,ОЛ-7541-РПА,4/15/2008,42
ООО Тандем,4205208582,ОЛ-11212-РПА,10/13/2011,42
ООО Тельбес,4228010331,ОЛ-11511-РПА,12/28/2011,42
ООО Терсь,4217076845,ОЛ-5406-РПА,3/21/2006,42
ООО Терсь,4214023531,ОЛ-5167-РПА,12/27/2005,42
ООО Техсервис,4215005831,ОЛ-5509-РПА,5/15/2006,42
ООО Тимофеева,4238018555,ОЛ-11140-РПА,9/12/2011,42
ООО Титаник,4212012245,ОЛ-5614-РПА,6/1/2006,42
ООО Титул,4222010007,ОЛ-5285-РПА,2/1/2006,42
ООО Тобул,4202013923,ОЛ-7840-РПА,9/17/2008,42
ООО Тода,4205137405,ОЛ-7100-РПА,7/21/2011,42
ООО Томь,4238021935,ОЛ-7738-РПА,7/28/2008,42
ООО ТоргСервис,4205199377,ОЛ-11201-РПА,10/10/2011,42
ООО ТоргСити,4220039498,ОЛ-8794-РПА,7/6/2009,42
"ООО Торговая компания ""Сибирь""",4230024691,ОЛ-9697-РПА,7/11/2008,42
"ООО Торговая компания ""Система""",4223025888,ОЛ-9553-РПА,6/17/2010,42
"ООО Торговая компания ""Чайка""",4213006131,ОЛ-5595-РПА,5/31/2006,42
ООО Торговая компания АЛЬЯНС,4214023789,ОЛ-5062-РПА,12/20/2005,42
ООО Торговая компания ПК,4223005320,ОЛ-0198-РПА,2/26/2002,42
ООО Торговая компания Снегири,4230027910,ОЛ-11314-РПА,11/21/2011,42
"ООО Торговая сеть ""Бригантина""",4240008547,ОЛ-5884-РПА,6/30/2006,42
ООО Торговая сеть Аникс,2204039458,ОЛ-9554-РПА,6/17/2010,22
ООО Торговая фирма Классик,4202027919,ОЛ-11066-РПА,8/15/2011,42
"ООО Торгово-транспортная компания ""Феникс",4220038705,ОЛ-10077-РПА,12/20/2010,42
"ООО Торговый Дом ""Колмогоровский""",4202028905,ОЛ-5978-РПА,7/17/2006,42
"ООО Торговый Дом ""СТАНДАРТ",4205181852,ОЛ-8988-РПА,11/3/2009,42
ООО Торговый Дом ГРАДУС,4205192660,ОЛ-9371-РПА,3/31/2010,42
ООО Торговый Дом,4202029480,ОЛ-11169-РПА,9/23/2011,42
"ООО Торговый дом ""Адонис",4202038283,ОЛ-9383-РПА,3/31/2010,42
"ООО Торговый дом ""ГРАДУС",4217071565,ОЛ-4118-РПА,5/18/2005,42
"ООО Торговый дом ""КОЛИБРИ",4205096220,ОЛ-6122-РПА,8/17/2010,42
"ООО Торговый дом ""Катит",4217122259,ОЛ-9402-РПА,4/1/2010,42
"ООО Торговый дом ""Маркет""",4213008450,ОЛ-11613-РПА,1/30/2012,42
"ООО Торговый дом ""Ральф""",4223033896,ОЛ-5586-РПА,5/31/2006,42
"ООО Торговый дом ""Регина""",4204006008,ОЛ-4014-РПА,3/17/2005,42
"ООО Торговый дом ""СДС-Алко""",4205087835,ОЛ-6313-РПА,3/17/2008,42
"ООО Торговый дом ""Сибириада""",4201010863,ОЛ-5111-РПА,12/28/2005,42
"ООО Торговый дом ""Сибиряк""",4202005601,ОЛ-5132-РПА,12/23/2005,42
"ООО Торговый дом ""Снегири""",4230021179,ОЛ-5646-РПА,6/13/2006,42
"ООО Торговый дом ""Суховский""",4205091648,ОЛ-6718-РПА,3/20/2007,42
"ООО Торговый дом ""Чайка""",4204006618,ОЛ-5793-РПА,6/29/2006,42
ООО Торговый дом Ленинск-Кузнецкого хлебокомбината,4212023014,ОЛ-1920-РПА,3/5/2003,42
ООО Торговый дом СерП,4212427360,ОЛ-6051-РПА,7/27/2006,42
ООО Торговый дом,4207017858,ОЛ-2747-РПА,6/8/2006,42
"ООО Торговый центр ""Новобайдаевский""",4221011960,ОЛ-0594-РПА,5/22/2002,42
ООО Торнадо,4211018780,ОЛ-5888-РПА,7/6/2006,42
ООО Трактир,4205122688,ОЛ-8379-РПА,1/29/2009,42
ООО Транзит,4204006657,ОЛ-5752-РПА,6/23/2006,42
ООО Транс-Форс-Новокузнецк,4217132779,ОЛ-11623-РПА,2/1/2012,42
ООО ТрансАвангард,5408186544,ОЛ-8365-РПА,1/23/2009,54
ООО ТрансЭкспресс,4205102138,ОЛ-6173-РПА,6/30/2010,42
ООО Трансуглесбыт,4202022519,ОЛ-5588-РПА,7/9/2010,42
ООО Трест,4230021676,ОЛ-5936-РПА,7/11/2006,42
ООО Три толстяка,4214025144,ОЛ-5985-РПА,7/19/2006,42
ООО Триумф,4217067449,ОЛ-4367-РПА,5/30/2005,42
ООО Триумф,4210005059,ОЛ-4470-РПА,7/6/2005,42
ООО Туран-Трейд,4205094960,ОЛ-6065-РПА,7/27/2006,42
ООО Тысяча мелочей,4228001898,ОЛ-4097-РПА,4/7/2005,42
ООО У Натальи,4214027127,ОЛ-8910-РПА,9/23/2009,42
ООО УРАРТУ,4221003550,ОЛ-8832-РПА,7/24/2009,42
ООО УСПЕХ ПЛЮС,4211023050,ОЛ-8735-РПА,6/10/2009,42
ООО УСПЕХ,4205180270,ОЛ-8911-РПА,9/22/2009,42
ООО УСПЕХ,4205094085,ОЛ-5679-РПА,6/30/2006,42
ООО Удача,4238020160,ОЛ-7495-РПА,4/1/2008,42
ООО Удача,4221031420,ОЛ-10871-РПА,7/18/2011,42
ООО Узбеков В.К.,4246000819,ОЛ-11350-РПА,11/30/2011,42
ООО Улыбка,4205106622,ОЛ-5988-РПА,7/18/2006,42
ООО Улыбка,4212015165,ОЛ-5981-РПА,7/17/2006,42
ООО Улыбка,4217102397,ОЛ-10428-РПА,4/5/2011,42
ООО Универмаг Плюс,4217082775,ОЛ-5782-РПА,6/28/2006,42
ООО Универсал,4202006891,ОЛ-5162-РПА,12/27/2005,42
ООО Универсал,4202028052,ОЛ-5511-РПА,5/2/2006,42
ООО Универсал-Люкс,4246005454,ОЛ-11569-РПА,1/19/2012,42
ООО Универсам,4212002215,ОЛ-8410-РПА,2/13/2009,42
ООО Уралец,4215004725,ОЛ-5046-РПА,12/15/2005,42
ООО Услуги населению,4243004269,ОЛ-5385-РПА,3/14/2006,42
ООО Успех,4211021462,ОЛ-11261-РПА,11/7/2011,42
ООО Утро,4205166646,ОЛ-8076-РПА,12/3/2008,42
ООО Уют,4228002387,ОЛ-3684-РПА,1/14/2005,42
ООО ФАВОРИТ,4205196150,ОЛ-11166-РПА,9/21/2011,42
ООО ФАЛСТ,4201003048,ОЛ-5703-РПА,6/16/2006,42
ООО ФАНФУД,4220029330,ОЛ-11578-РПА,1/18/2012,42
ООО ФАОР,4238017738,ОЛ-5053-РПА,12/14/2005,42
ООО ФАРТ,4228009625,ОЛ-5458-РПА,4/7/2006,42
ООО ФЕНИКС ПЛЮС,4223051623,ОЛ-8856-РПА,8/12/2009,42
ООО ФЕНИКС,4243005946,ОЛ-8491-РПА,3/20/2009,42
ООО ФОРТУНА-ПЛЮС,4214028699,ОЛ-7479-РПА,3/20/2008,42
ООО ФСК ДомСтройКомплект,4212023543,ОЛ-8714-РПА,2/7/2011,42
ООО Фаворит,4241002918,ОЛ-11649-РПА,2/9/2012,42
ООО Фактор-К,4220038984,ОЛ-8615-РПА,4/7/2009,42
ООО Фел,4202007528,ОЛ-3974-РПА,3/11/2005,42
ООО Феликс,4212014242,ОЛ-1690-РПА,1/13/2003,42
ООО Феникс,4214023404,ОЛ-5066-РПА,12/19/2005,42
ООО Феникс,4214024831,ОЛ-6370-РПА,10/13/2006,42
ООО Феникс,4229007571,ОЛ-6835-РПА,5/17/2007,42
ООО Феникс,4228010236,ОЛ-6467-РПА,11/22/2006,42
ООО Феникс-Д,4214025666,ОЛ-6336-РПА,10/6/2006,42
ООО Фирма ИЛВА,4207008740,ОЛ-11262-РПА,11/7/2011,42
ООО Фирма КемеровоПром,4207055772,ОЛ-4720-РПА,9/27/2005,42
ООО Фирма Солнце,4219005857,ОЛ-1029-РПА,10/23/2002,42
ООО Флюсер,4214028353,ОЛ-7549-РПА,4/22/2008,42
ООО Форвард,4221019416,ОЛ-11339-РПА,11/25/2011,42
ООО Форинт,4246005856,ОЛ-5249-РПА,1/26/2006,42
ООО Фортуна,4238019277,ОЛ-6199-РПА,8/23/2006,42
ООО Фортуна,4202001808,ОЛ-1394-РПА,12/19/2002,42
ООО Форум,4217110630,ОЛ-11526-РПА,12/28/2011,42
ООО Форштадт,4221008397,ОЛ-4544-РПА,7/29/2005,42
ООО Фрахт,4222002976,ОЛ-3492-РПА,12/20/2007,42
ООО Фудзи,4205151833,ОЛ-10008-РПА,12/13/2010,42
ООО ХладоАлко розница,4220042476,ОЛ-9763-РПА,9/13/2010,42
ООО Хлеб-магазин,4220032326,ОЛ-7162-РПА,6/6/2008,42
ООО Хлебопродукт ЛТД,4202013497,ОЛ-4195-РПА,4/19/2005,42
ООО Хмель,4205181429,ОЛ-8948-РПА,10/19/2009,42
ООО Хмель,4217087205,ОЛ-8302-РПА,12/26/2008,42
ООО Хмельной базар,4205037880,ОЛ-9524-РПА,6/8/2010,42
ООО Холидей-Новокузнецк,4221023003,ОЛ-7562-РПА,4/16/2009,42
ООО Холлифуд,4206033127,ОЛ-11503-РПА,12/28/2011,42
ООО Холодильник,4220029764,ОЛ-5263-РПА,2/14/2007,42
ООО Хотей,4222010350,ОЛ-5968-РПА,7/17/2006,42
ООО Царская охота,4238015836,ОЛ-7280-РПА,12/26/2007,42
ООО Цемент,4217001536,ОЛ-1204-РПА,12/2/2002,42
ООО Центавр,4230015070,ОЛ-11431-РПА,12/16/2011,42
ООО Центр,4202032740,ОЛ-7242-РПА,12/19/2007,42
ООО Центр,4214023732,ОЛ-5181-РПА,12/28/2005,42
ООО Центр-Сервис,4219001732,ОЛ-10653-РПА,6/8/2011,42
ООО Центральный,4246006144,ОЛ-5757-РПА,8/29/2008,42
ООО ЧАЙКА,4205107560,ОЛ-6055-РПА,7/26/2006,42
ООО Чакина О.Г.,4217078289,ОЛ-9824-РПА,10/18/2010,42
ООО Чарка,4214017633,ОЛ-1143-РПА,11/17/2005,42
ООО Черчиль,4205113468,ОЛ-11329-РПА,11/25/2011,42
ООО Чинар,4250002079,ОЛ-5143-РПА,12/28/2005,42
ООО ШАНС ПЛЮС,4211018445,ОЛ-5492-РПА,4/27/2006,42
ООО ШАРК,4205199803,ОЛ-9640-РПА,7/20/2010,42
ООО ШАСТ,4221011015,ОЛ-5496-РПА,4/27/2006,42
ООО ШЕЙНЕ,4228009230,ОЛ-5852-РПА,6/30/2006,42
ООО ШОП,4220004230,ОЛ-0279-РПА,3/13/2002,42
ООО Шале,4220035447,ОЛ-7257-РПА,12/20/2007,42
ООО Шанс,4221017909,ОЛ-11330-РПА,11/24/2011,42
ООО Шахтерский,4218007185,ОЛ-0956-РПА,10/3/2002,42
ООО Шерна,4212006308,ОЛ-1321-РПА,12/23/2002,42
ООО Шеф-повар,4217123100,ОЛ-9811-РПА,10/1/2010,42
ООО Шоколадница-Кемерово,4205161831,ОЛ-8826-РПА,7/22/2009,42
ООО Штаб Квартира,4205167079,ОЛ-10427-РПА,4/22/2011,42
ООО Шубаков и К,4217078271,ОЛ-5953-РПА,12/25/2009,42
ООО Щербина,4221018860,ОЛ-5603-РПА,6/1/2006,42
ООО Щит плюс,4212016881,ОЛ-6357-РПА,10/11/2006,42
ООО ЭВЕРЕСТ,4202027041,ОЛ-11544-РПА,12/30/2011,42
ООО ЭЙФЕ,4214027720,ОЛ-7004-РПА,8/24/2007,42
"ООО ""Экспромт""",2632005600,2026337,12/4/2008,26
"ООО ""Горкоопторг""",2614016422,2027948,6/23/2010,26
"ООО ""Привоз""",2616006356,2026401,12/11/2008,26
"ООО ""Лора""",2609012655,2026310,11/28/2008,26
"КХ ""Месед""",2616002425,2027523,12/18/2009,26
"ООО ""КВАДРАТ""",2627016934,2026303,11/26/2008,26
"ООО ""Ирина""",2621004812,2026471,12/19/2008,26
СПК колхоз имени Ворошилова,2621004033,2026414,12/15/2008,26
"ООО ""Кристалл""",2610014400,2029776,1/12/2012,26
"ООО ""ФАНТАЗИЯ""",2632048917,2026650,1/26/2009,26
"ООО ""Натали""",2607260740,2029017,6/22/2011,26
"ООО ""Белизна""",2632007815,2026584,1/11/2009,26
"ООО ""ДРУЖБА""",2632003401,2028064,8/13/2010,26
"ООО ""Камелия""",2603008148,2026582,1/11/2009,26
"ООО ""Спектр""",2603006888,2028985,6/17/2011,26
"ООО ""Милада""",2634039516,2026819,3/11/2009,26
"ООО ""Рассвет""",2635048094,2026601,1/15/2009,26
"ООО ""Уют""",2612005295,2026812,3/10/2009,26
