,,,,,,,,
,№ ,№ ,Организация,Вид ,Место действует,,Местонахождение,ИНН
,Е 004271,РА-0414/11," ООО ""Континент"" ОГРН 1025404790465",Действует,12.07.11,11.07.12,"НСО, г.Искитим, ул.Советская, 252",5446103549
,Е 004158,РА-0303/11," ООО ""Лидер"" ОГРН 1115483001061",Действует,02.06.11,01.06.12,"НСО, г.Искитим, ул.Советская, 252/3",5446013077
,Е 003971,РА-0121/11," ООО ""магазин Низкие цены"" ОГРН 1085472000129",Действует,18.03.11,17.03.14,"НСО, г.Искитим, ул.Советская, 252/9",5446008574
,Е 003892,РА-0048/11," ООО ""Лотос"" ОГРН 1105483000820",Действует,15.02.11,14.02.12,"НСО, г.Искитим, ул.Советская, 26",5446012620
,Е 004147,РА-0292/11," ООО ""Легион"" ОГРН 1025404789079",Действует,02.06.11,01.06.13,"НСО, г.Искитим, ул.Советская, 360",5446110306
,Е 003090,РА-0115/10," ООО ""ТД АК"" ОГРН 1055472022980",Действует,01.03.10,29.02.12,"НСО, г.Искитим, ул.Советская, 447",5446005559
,Е 003867,РА-0023/11," ООО ""ТД Сандис"" ОГРН 1025404789080",Действует,31.01.11,30.01.14,"НСО, г.Искитим, ул.Советская, 73",5446111733
,Е 003319,РА-0337/10," ООО ""ПродСиб"" ОГРН 1065472008898",Действует,20.06.10,19.06.13,"НСО, г.Искитим, ул.Советская, ост.Школьная",5446006400
,Е 001686,РА-274/09," ООО ""Закусочная ""Валентина"" ОГРН 1065472001671",Действует,08.04.09,07.04.12,"НСО, г.Искитим, ул.Станционная, 23",5446005742
,Е 003937,РА-0092/11," ООО ""Элик"" ОГРН 1065472012968",Действует,05.03.11,04.03.12,"НСО, г.Искитим, ул.Украинская, 26а",5446007059
,Е 004429,РА-1168/09," МУТП ""Ложок"" ОГРН 1045403639456",Действует,28.10.11,27.10.12,"НСО, г.Искитим, ул.Центральная, 18   Аэп: anckasamoilenko@yandex.ru",5446222070
,Е 003819,РА-0822м/10," ООО ""Компания Перфект"" ОГРН 1105472000853",Действует,29.12.10,28.12.11,"НСО, г.Искитим, ул.Центральная, 18а",5446012154
,Е004037,РА-0186/11," ООО ""Союз-Бир"" ОГРН 1065472004553",Действует,17.04.11,16.04.12,"НСО, г.Искитим, ул.Чайковского, 47",5446005750
,Е 004227,РА-0371/11," ООО ""Спутник"" ОГРН 1065472008601",Действует,30.06.11,29.06.12,"НСО, г.Искитим, ул.Чайковского, 47",5446006256
,Е 002339,РА-879/09," ООО ""Антошка"" ОГРН 1065472007699",Действует,20.07.09,19.07.12,"НСО, г.Искитим, ул.Элеваторная, 5",5443001066
,Е 003770,РА-0773м/10," ООО ""Чайка"" ОГРН 1025404789629",Действует,25.12.10,24.12.11,"НСО, г.Искитим, ул.Южная, 52",5446108057
,Е 003224,РА-0247/10," ООО ""Мясная лавка"" ОГРН 1035404182043",Действует,10.05.10,09.05.13,"НСО, г.Карасук, ул.Деповская, 1а",5422109823
,Е 003114,РА-0139/10," ООО ""Отдых"" ОГРН 1065474000129",Действует,22.03.10,21.03.13,"НСО, г.Карасук, ул.Деповская, 1а",5422111212
,Е 001375,РА-852/08," ООО ""ДИАНА""  ОГРН 1025404183200",Действует,13.01.09,12.01.12,"НСО, г.Карасук, ул.Индустриальная, 1д-1",5422103758
,Е 003723,РА-0726м/10," ООО ""Меридиан"" ОГРН 1075407027630",Действует,10.12.10,09.12.11,"НСО, г.Карасук, ул.Карасукская, 1",5407039988
,Е 002547,РА-941/09," ООО ""Форум"" ОГРН 1065474011393",Действует,07.08.09,06.08.12,"НСО, г.Карасук, ул.Кутузова, 38",5422111519
,Е 002227,РА-780/09," ООО ""Волчье логово"" ОГРН 1065474011239",Действует,30.06.09,29.06.12,"НСО, г.Карасук, ул.Кутузова, 44",5422111438
,Е 001534,РА-135/09," ООО ""Ударник"" ОГРН 1055474021503",Действует,04.03.09,03.03.12,"НСО, г.Карасук, ул.Ленина, 118, кв.43",5422110988
,Е 002617,РА-1008/09," ООО ""Русь""",Действует,01.09.09,31.08.12,"НСО, г.Карасук, ул.Ленина, 120",5422111484
,Е 002429,РА-1433/09," ООО ""ФРЕГАТ"" ОГРН 1075474000711",Действует,29.12.09,28.12.12,"НСО, г.Карасук, ул.Ленина, 191",5422111910
,Е 003122,РА-01346/10," Карасукское производственное потребительское общество ""Общественное питание"" ОГРН 1035404181548",Действует,25.03.10,24.03.13,"НСО, г.Карасук, ул.Октябрьская, 20",5422109710
,Е 004432,РА-0514/11," ООО ""Улыбка"" ОГРН 1075474000360",Действует,27.10.11,26.10.12,"НСО, г.Карасук, ул.Октябрьская, 40а   Аэп: cvetlana.ru.znurba2011@yanlex.ru",5422111780
,Е 003341,РА-0358м/10," ООО ""Карина"" ОГРН 1065474011129",Действует,30.06.10,29.06.12,"НСО, г.Карасук, ул.Победы, 39/2",5422111371
,Е 004066,РА-0214/11," ООО ""Дионис"" ОГРН 1105474000092",Действует,27.04.11,26.04.12,"НСО, г.Карасук, ул.Сибирская, 15",5422112777
,Е 003389,РА-0404м/10, Карасукское райпо ОГРН 1025404181857,Действует,17.07.10,16.07.13,"НСО, г.Карасук, ул.Сибирская, 6",5422103638
,Е 003233,РА-0254/10, Карасукское торговое потребительское общество ОГРН 1035404182065,Действует,15.05.10,14.05.13,"НСО, г.Карасук, ул.Сибирская, 6",5422109870
,Е 003724,РА-0727м/10," ООО ""Восход"" ОГРН 1075407027629",Действует,10.12.10,09.12.11,"НСО, г.Карасук, ул.Советская, 16",5407039995
,Е 003877,РА-0033/11," ОАО ""Карасукагропромснаб"" ОГРН 1025404182000",Действует,03.02.11,02.02.12,"НСО, г.Карасук, ул.Советская, 16",5422100203
,Е 002026,РА-595/09," ООО ""Юлия"" ОГРН 1065474011195",Действует,30.06.09,29.06.12,"НСО, г.Карасук, ул.Тургенева, 88б, кв.2",5422111406
,Е 002593,РА-986/09," ООО ""Три медведя""",Действует,25.08.09,24.08.12,"НСО, г.Каргат, ул.Октябрьская, 2а",5423000280
,Е 004354,РА-0483/11," ПО ""Пищевик"" ОГРН 1075464000919",Действует,29.08.11,28.08.12,"НСО, г.Каргат, ул.Советская, 136  А эп: kargateda@mail.ru",5423000508
,Е 003913,РА-0068/11, Каргатское Горпо ОГРН 1035406025379,Действует,27.02.11,26.02.13,"НСО, г.Каргат, ул.Советская, 179",5423104793
,Е 002165,РА-724/09," ООО ""Анюта"" ОГРН 1055471017975",Действует,30.06.09,29.06.12,"НСО, г.Куйбышев, 1-й квартал, дом 19, кв.46",5452111900
,Е 003800,РА-0803м/10," ООО ""Терем"" ОГРН 1065471010373",Действует,29.12.10,28.12.13,"НСО, г.Куйбышев, 3-ий квартал, дом 5а",5452112573
,Е 004489,РА-0539/11," ООО ""Алиса"" ОГРН 1115485000696",Действует,17.11.11,16.11.13,"НСО, г.Куйбышев, квартал 1, дом 12 Аэп: alisa33.natalya@yandex.ru",5452115662
,Е 003186,РА-0210/10," ООО ""Сибирячка"" ОГРН 1105471000216",Действует,21.04.10,20.04.13,"НСО, г.Куйбышев, квартал 1, дом 25, кв.1",5452115091
,Е 003808,РА-0811м/10," ООО ""Пятерочка"" ОГРН 1065471010549",Действует,29.12.10,28.12.13,"НСО, г.Куйбышев, квартал 1, дом 5",5452112622
,Е 001854,РА-433/09," ООО ""Черёмуха"" ОГРН 1055471018877",Действует,18.05.09,17.05.12,"НСО, г.Куйбышев, квартал 10, дом 6, кв.10",5452112020
,Е 002590,РА-983/09," ООО ""Сибирь""",Действует,21.08.09,20.08.12,"НСО, г.Куйбышев, квартал 10, дом 6в",5452112559
,Е 004042,РА-0191/11," ООО ""ШАНС"" ОГРН  1025406824640",Действует,21.04.11,20.04.12,"НСО, г.Куйбышев, квартал 11, дом 12, кв.41",5452109468
,Е 004473,РА-0658м/10," ООО ""Наталья"" ОГРН 1065471010813",Действует,13.11.11,12.11.12,"НСО, г.Куйбышев, квартал 11, дом 12, кв.56  Аэп: Serezha.lazo@yandex.ru",5452112823
,Е 004502,РА-0546/11," ООО ""Эпоха"" ОГРН 1025406825245",Действует,22.11.11,21.11.14,"НСО, г.Куйбышев, квартал 11, дом 21  Аэп: ooo-briss@mail.ru",5452108930
,Е 002484,РА-0016/10," ООО ""КАСКАД"" ОГРН 1065471011210",Действует,21.01.10,20.01.13,"НСО, г.Куйбышев, квартал 14, дом 5, кв.39",5452113094
,Е 004014,РА-0163/11," ООО ""Витта"" ОГРН 1025406826367",Действует,09.04.11,08.04.14,"НСО, г.Куйбышев, квартал 7, дом 2",5452109186
,Е 002011,РА-576/09," ООО ""Дуэт""ОГРН 1065471009922",Действует,30.06.09,29.06.12,"НСО, г.Куйбышев, квартал 7, дом 9, кв.2",5452112277
,Е 001993,РА-565/09," ООО ""СС"" ОГРН 1065471010208",Действует,30.06.09,29.06.12,"НСО, г.Куйбышев, квартал 9, дом 9, кв.55",5452112478
,Е 002482,РА-0014/10," ООО ""Ясень"" ОГРН 1025406826114",Действует,30.01.10,29.01.13,"НСО, г.Куйбышев, микрорайон Южный, 1, кв.67",5447102876
,Е 004044,РА-0193/11, Куйбышевское ПТПО ОГРН 1025406824783,Действует,19.04.11,18.04.13,"НСО, г.Куйбышев, Первомайская площадь, 19",5428104469
,Е 004025,РА-0174/11, Куйбышевское ТЗПО ОГРН 1035406826630,Действует,14.04.11,13.04.12,"НСО, г.Куйбышев, Первомайская площадь, 19",5452110632
,Е 003517,РА-0524м/10, Каинское ЗТПО ОГРН 1055471000749,Действует,14.09.10,13.09.12,"НСО, г.Куйбышев, Первомайская площадь, 19",5452111393
,Е 003326,РА-0343м/10," ООО ""РАЯ"" ОГРН 1065471010186",Действует,30.06.10,29.06.12,"НСО, г.Куйбышев, Первомайская площадь, 19",5452112453
,Е 004423,РА-1157/09," ООО ""САБИНА"" ОГРН 1025406826521",Действует,25.10.11,24.10.14,"НСО, г.Куйбышев, ул. 1-го декабря, 8    Аэп: ganalex1@mail.ru",5447108187
,Е 002495,РА-0027/10," ООО ""КОРОБЕНКО"" ОГРН 1075471000076",Действует,22.01.10,21.01.13,"НСО, г.Куйбышев, ул.Агафонова, 71а",5452113263
,Е 003799,РА-0802м/10," ООО ""Альбина"" ОГРН 1055471017799",Действует,27.12.10,26.12.11,"НСО, г.Куйбышев, ул.Бородина, 5",5452111883
,Е 002101,РА-668/09," ООО ""Феникс"" ОГРН 1025406827434",Действует,30.06.09,29.06.12,"НСО, г.Куйбышев, ул.Войкова, 3",5447101336
,Е 003189,РА-0213/10," ООО ""Вега"" ОГРН 1025406825157",Действует,26.04.10,25.04.13,"НСО, г.Куйбышев, ул.Ермака, 28",5452108584
,Е 001371,РА-850/08," ООО ""ПК ЕРМАК"" ОГРН 1085471000361",Действует,29.12.08,28.12.11,"НСО, г.Куйбышев, ул.Закраевского, 95",5452114179
,Е 004408,РА-0581м/10," ООО ""Русь"" ОГРН 1065471010835",Действует,13.10.11,12.10.14,"НСО, г.Куйбышев, ул.Звездная, 15, кв.1    Аэп: volifer@gmail.com",5452112848
,Е 004107,РА-0252/11," ООО ""Эдем-плюс"" ОГРН 1105471000304",Действует,11.05.11,10.05.12,"НСО, г.Куйбышев, ул.Коммунистическая, 56а",5452115158
,Е 004131,РА-0276/11," ООО ""Агния"" ОГРН 1095471000151",Действует,26.05.11,25.05.12,"НСО, г.Куйбышев, ул.Копьева, 1",5452114612
,Е 002691,РА-1075/09," ООО ""ВиКо"" ОГРН 1095471000305",Действует,29.09.09,28.09.12,"НСО, г.Куйбышев, ул.Кутузова, 36",5452114757
,Е 002130,РА-693/09," ООО ""Бриг"" ОГРН 1065471010219",Действует,30.06.09,29.06.12,"НСО, г.Куйбышев, ул.Мошнинская, 8",5452112492
,Е 003587,РА-0591м/10," ООО ""СОЗВЕЗДИЕ"" ОГРН 1085471000053",Действует,15.10.10,14.10.13,"НСО, г.Куйбышев, ул.Новосибирская, 1",5452113922
,Е 003729,РА-0732м/10," ООО ""Смак"" ОГРН 1085471000900",Действует,15.12.10,14.12.13,"НСО, г.Куйбышев, ул.Партизанская, 15",5452114394
,Е 001763,РА-348/09," ООО ""Феникс"" ОГРН 1065471009911",Действует,20.04.09,19.04.12,"НСО, г.Куйбышев, ул.Пролетарская, 12",5452112260
,Е 001436,РА-044/09," ООО ""Мария и К"" ОГРН 1085471000944",Действует,03.02.09,02.02.12,"НСО, г.Куйбышев, ул.Промзона, 5а",5452114411
,Е 001557,РА-155/09," ООО ""ХЛЕБОПРОДУКТ"" ОГРН 1025406827049",Действует,06.03.09,05.03.12,"НСО, г.Куйбышев, ул.Промышленная, 10",5447101713
,Е 004249,РА-0385/11," ООО ""Винотека"" ОГРН 1095471000261",Действует,06.07.11,05.07.12,"НСО, г.Куйбышев, ул.Свердлова, 20",5452114718
,Е 004370,РА-0486м/10," ООО ""Тандем"" ОГРН 1025406825773",Действует,15.09.11,14.09.13,"НСО, г.Куйбышев, ул.Снежная, 1а  Аэп: tandem1960@mail.ru",5452108739
,Е 002106,РА-673/09," ООО ""Вика"" ОГРН 1065471010220",Действует,30.06.09,29.06.12,"НСО, г.Куйбышев, ул.Строительная, 3, кв.57",5452112502
